t 1 jL0100 
0 -0 -0
0.01 0.125643 0.000628215
0.02 0.251162 0.00251224
0.03 0.376433 0.00565022
0.04 0.501333 0.010039
0.05 0.625738 0.0156744
0.06 0.749525 0.0225507
0.07 0.872573 0.0306612
0.08 0.99476 0.0399979
0.09 1.11596 0.0505515
0.1 1.23607 0.0623117
0.11 1.35495 0.0752668
0.12 1.4725 0.089404
0.13 1.58859 0.104709
0.14 1.70312 0.121168
0.15 1.81596 0.138763
0.16 1.92701 0.157478
0.17 2.03617 0.177294
0.18 2.14331 0.198192
0.19 2.24833 0.22015
0.2 2.35114 0.243147
0.21 2.45163 0.267161
0.22 2.5497 0.292168
0.23 2.64525 0.318142
0.24 2.73819 0.345059
0.25 2.82843 0.372893
0.26 2.91587 0.401614
0.27 3.00044 0.431196
0.28 3.08205 0.461608
0.29 3.16062 0.492822
0.3 3.23607 0.524805
0.31 3.30832 0.557527
0.32 3.37731 0.590955
0.33 3.44297 0.625056
0.34 3.50523 0.659797
0.35 3.56403 0.695144
0.36 3.61931 0.73106
0.37 3.67102 0.767512
0.38 3.71911 0.804463
0.39 3.76352 0.841876
0.4 3.80423 0.879715
0.41 3.84117 0.917942
0.42 3.87433 0.956519
0.43 3.90367 0.995409
0.44 3.92915 1.03457
0.45 3.95075 1.07397
0.46 3.96846 1.11357
0.47 3.98225 1.15332
0.48 3.99211 1.19319
0.49 3.99803 1.23314
0.5 4 1.27313
0.51 3.99803 1.31312
0.52 3.99211 1.35308
0.53 3.98225 1.39295
0.54 3.96846 1.4327
0.55 3.95075 1.4723
0.56 3.92915 1.5117
0.57 3.90367 1.55086
0.58 3.87433 1.58975
0.59 3.84117 1.62833
0.6 3.80423 1.66656
0.61 3.76352 1.70439
0.62 3.71911 1.74181
0.63 3.67102 1.77876
0.64 3.61931 1.81521
0.65 3.56403 1.85113
0.66 3.50523 1.88647
0.67 3.44297 1.92121
0.68 3.37731 1.95531
0.69 3.30832 1.98874
0.7 3.23607 2.02146
0.71 3.16062 2.05345
0.72 3.08205 2.08466
0.73 3.00044 2.11507
0.74 2.91587 2.14466
0.75 2.82843 2.17338
0.76 2.73819 2.20121
0.77 2.64525 2.22813
0.78 2.5497 2.2541
0.79 2.45163 2.27911
0.8 2.35114 2.30312
0.81 2.24833 2.32612
0.82 2.14331 2.34808
0.83 2.03617 2.36898
0.84 1.92701 2.38879
0.85 1.81596 2.40751
0.86 1.70312 2.4251
0.87 1.58859 2.44156
0.88 1.4725 2.45687
0.89 1.35495 2.471
0.9 1.23607 2.48396
0.91 1.11596 2.49572
0.92 0.99476 2.50627
0.93 0.872573 2.51561
0.94 0.749525 2.52372
0.95 0.625738 2.5306
0.96 0.501333 2.53623
0.97 0.376433 2.54062
0.98 0.251162 2.54376
0.99 0.125643 2.54564
1 -4.26326e-14 2.54627
1.01 -0.125643 2.54564
1.02 -0.251162 2.54376
1.03 -0.376433 2.54062
1.04 -0.501333 2.53623
1.05 -0.625738 2.5306
1.06 -0.749525 2.52372
1.07 -0.872573 2.51561
1.08 -0.99476 2.50627
1.09 -1.11596 2.49572
1.1 -1.23607 2.48396
1.11 -1.35495 2.471
1.12 -1.4725 2.45687
1.13 -1.58859 2.44156
1.14 -1.70312 2.4251
1.15 -1.81596 2.40751
1.16 -1.92701 2.38879
1.17 -2.03617 2.36898
1.18 -2.14331 2.34808
1.19 -2.24833 2.32612
1.2 -2.35114 2.30312
1.21 -2.45163 2.27911
1.22 -2.5497 2.2541
1.23 -2.64525 2.22813
1.24 -2.73819 2.20121
1.25 -2.82843 2.17338
1.26 -2.91587 2.14466
1.27 -3.00044 2.11507
1.28 -3.08205 2.08466
1.29 -3.16062 2.05345
1.3 -3.23607 2.02146
1.31 -3.30832 1.98874
1.32 -3.37731 1.95531
1.33 -3.44297 1.92121
1.34 -3.50523 1.88647
1.35 -3.56403 1.85113
1.36 -3.61931 1.81521
1.37 -3.67102 1.77876
1.38 -3.71911 1.74181
1.39 -3.76352 1.70439
1.4 -3.80423 1.66656
1.41 -3.84117 1.62833
1.42 -3.87433 1.58975
1.43 -3.90367 1.55086
