t  1  2  3  jxH0100
0  -2.19283  -5  -5  -2.19283
0.01  -2.10191  -4.8  -4.8  -2.10191
0.02  -2.02348  -4.6  -4.6  -2.02348
0.03  -1.94429  -4.4  -4.4  -1.94429
0.04  -1.86435  -4.2  -4.2  -1.86435
0.05  -1.78364  -4  -4  -1.78364
0.06  -1.70216  -3.8  -3.8  -1.70216
0.07  -1.6199  -3.6  -3.6  -1.6199
0.08  -1.53686  -3.4  -3.4  -1.53686
0.09  -1.45303  -3.2  -3.2  -1.45303
0.1  -1.3684  -3  -3  -1.3684
0.11  -1.28298  -2.8  -2.8  -1.28298
0.12  -1.19676  -2.6  -2.6  -1.19676
0.13  -1.10972  -2.4  -2.4  -1.10972
0.14  -1.02187  -2.2  -2.2  -1.02187
0.15  -0.933197  -2  -2  -0.933197
0.16  -0.843697  -1.8  -1.8  -0.843697
0.17  -0.753363  -1.6  -1.6  -0.753363
0.18  -0.662191  -1.4  -1.4  -0.662191
0.19  -0.570174  -1.2  -1.2  -0.570174
0.2  -0.477306  -1  -1  -0.477306
0.21  -0.383582  -0.8  -0.8  -0.383582
0.22  -0.288996  -0.6  -0.6  -0.288996
0.23  -0.0184326  -0.4  -0.4  -0.0184326
0.24  -0.00924846  -0.2  -0.2  -0.00924846
0.25  2.05595e-17  8.88178e-16  8.88178e-16  2.05595e-17
0.26  0.00931316  0.2  0.2  0.00931316
0.27  0.0186914  0.4  0.4  0.0186914
0.28  0.296977  0.6  0.6  0.296977
0.29  0.846974  0.8  0.8  0.846974
0.3  1.08689  1  1  1.08689
0.31  1.30427  1.2  1.2  1.30427
0.32  1.52165  1.4  1.4  1.52165
0.33  1.73903  1.6  1.6  1.73903
0.34  1.95641  1.8  1.8  1.95641
0.35  2.17378  2  2  2.17378
0.36  2.39116  2.2  2.2  2.39116
0.37  2.60854  2.4  2.4  2.60854
0.38  2.82592  2.6  2.6  2.82592
0.39  3.0433  2.8  2.8  3.0433
0.4  3.26068  3  3  3.26068
0.41  3.47805  3.2  3.2  3.47805
0.42  3.69543  3.4  3.4  3.69543
0.43  3.91281  3.6  3.6  3.91281
0.44  4.13019  3.8  3.8  4.13019
0.45  4.34757  4  4  4.34757
0.46  4.56495  4.2  4.2  4.56495
0.47  4.78233  4.4  4.4  4.78233
0.48  4.9997  4.6  4.6  4.9997
0.49  5.21708  4.8  4.8  5.21708
0.5  5.43446  5  5  5.43446
0.51  5.21708  4.8  4.8  5.21708
0.52  4.9997  4.6  4.6  4.9997
0.53  4.78233  4.4  4.4  4.78233
0.54  4.56495  4.2  4.2  4.56495
0.55  4.34757  4  4  4.34757
0.56  4.13019  3.8  3.8  4.13019
0.57  3.91281  3.6  3.6  3.91281
0.58  3.69543  3.4  3.4  3.69543
0.59  3.47805  3.2  3.2  3.47805
0.6  3.26068  3  3  3.26068
0.61  3.0433  2.8  2.8  3.0433
0.62  2.82592  2.6  2.6  2.82592
0.63  2.60854  2.4  2.4  2.60854
0.64  2.39116  2.2  2.2  2.39116
0.65  2.17378  2  2  2.17378
0.66  1.95641  1.8  1.8  1.95641
0.67  1.73903  1.6  1.6  1.73903
0.68  1.52165  1.4  1.4  1.52165
0.69  1.30427  1.2  1.2  1.30427
0.7  1.08689  1  1  1.08689
0.71  0.420311  0.8  0.8  0.420311
0.72  0.297108  0.6  0.6  0.297108
0.73  0.0187788  0.4  0.4  0.0187788
0.74  0.00935663  0.2  0.2  0.00935663
0.75  -4.29561e-16  -8.88178e-15  -8.88178e-15  -4.29561e-16
0.76  -0.00929153  -0.2  -0.2  -0.00929153
0.77  -0.0185184  -0.4  -0.4  -0.0185184
0.78  -0.289124  -0.6  -0.6  -0.289124
0.79  -0.383752  -0.8  -0.8  -0.383752
0.8  -0.477518  -1  -1  -0.477518
0.81  -0.570427  -1.2  -1.2  -0.570427
0.82  -0.662484  -1.4  -1.4  -0.662484
0.83  -0.753697  -1.6  -1.6  -0.753697
0.84  -0.84407  -1.8  -1.8  -0.84407
0.85  -0.93361  -2  -2  -0.93361
0.86  -1.02232  -2.2  -2.2  -1.02232
0.87  -1.11021  -2.4  -2.4  -1.11021
0.88  -1.19729  -2.6  -2.6  -1.19729
