t 1 2 3 jxH0100 
0 -1e-09 -5 -5 -1e-09
0.01 -1e-09 -4.8 -4.8 -1e-09
0.02 -1e-09 -4.6 -4.6 -1e-09
0.03 -1e-09 -4.4 -4.4 -1e-09
0.04 -1e-09 -4.2 -4.2 -1e-09
0.05 -1e-09 -4 -4 -1e-09
0.06 -1e-09 -3.8 -3.8 -1e-09
0.07 -1e-09 -3.6 -3.6 -1e-09
0.08 -1e-09 -3.4 -3.4 -1e-09
0.09 -1e-09 -3.2 -3.2 -1e-09
0.1 -1e-09 -3 -3 -1e-09
0.11 -1e-09 -2.8 -2.8 -1e-09
0.12 -1e-09 -2.6 -2.6 -1e-09
0.13 -1e-09 -2.4 -2.4 -1e-09
0.14 -1e-09 -2.2 -2.2 -1e-09
0.15 -1e-09 -2 -2 -1e-09
0.16 -1e-09 -1.8 -1.8 -1e-09
0.17 -1e-09 -1.6 -1.6 -1e-09
0.18 -1e-09 -1.4 -1.4 -1e-09
0.19 -1e-09 -1.2 -1.2 -1e-09
0.2 -1e-09 -1 -1 -1e-09
0.21 -1e-09 -0.8 -0.8 -1e-09
0.22 -9.99999e-10 -0.6 -0.6 -9.99999e-10
0.23 -9.999e-10 -0.4 -0.4 -9.999e-10
0.24 -9.9e-10 -0.2 -0.2 -9.9e-10
0.25 2.55351e-23 1.11022e-15 1.11022e-15 2.55351e-23
0.26 9.9e-08 0.2 0.2 9.9e-08
0.27 9.99901e-06 0.4 0.4 9.99901e-06
0.28 0.001 0.6 0.6 0.001
0.29 0.1 0.8 0.8 0.1
0.3 0.560518 1 1 0.560518
0.31 1.02104 1.2 1.2 1.02104
0.32 1.48155 1.4 1.4 1.48155
0.33 1.94207 1.6 1.6 1.94207
0.34 2.40259 1.8 1.8 2.40259
0.35 2.86311 2 2 2.86311
0.36 3.32362 2.2 2.2 3.32362
0.37 3.78414 2.4 2.4 3.78414
0.38 4.24466 2.6 2.6 4.24466
0.39 4.70518 2.8 2.8 4.70518
0.4 5.16569 3 3 5.16569
0.41 5.62621 3.2 3.2 5.62621
0.42 6.08673 3.4 3.4 6.08673
0.43 6.54725 3.6 3.6 6.54725
0.44 7.00777 3.8 3.8 7.00777
0.45 7.46828 4 4 7.46828
0.46 7.9288 4.2 4.2 7.9288
0.47 8.38932 4.4 4.4 8.38932
0.48 8.84984 4.6 4.6 8.84984
0.49 9.31035 4.8 4.8 9.31035
0.5 9.77087 5 5 9.77087
0.51 9.31035 4.8 4.8 9.31035
0.52 8.84984 4.6 4.6 8.84984
0.53 8.38932 4.4 4.4 8.38932
0.54 7.9288 4.2 4.2 7.9288
0.55 7.46828 4 4 7.46828
0.56 7.00777 3.8 3.8 7.00777
0.57 6.54725 3.6 3.6 6.54725
0.58 6.08673 3.4 3.4 6.08673
0.59 5.62621 3.2 3.2 5.62621
0.6 5.16569 3 3 5.16569
0.61 4.70518 2.8 2.8 4.70518
